date,short sell_unscaled,short sell_monthly,isPartial,scale,short sell
2011-06-04,36,63.0,,0.63,22.68
2011-06-05,100,63.0,,0.63,63.0
2011-06-06,27,63.0,,0.63,17.01
2011-06-07,46,63.0,,0.63,28.98
2011-06-08,68,63.0,,0.63,42.84
2011-06-09,34,63.0,,0.63,21.42
2011-06-10,28,63.0,,0.63,17.64
2011-06-11,27,63.0,,0.63,17.01
2011-06-12,36,63.0,,0.63,22.68
2011-06-13,41,63.0,,0.63,25.830000000000002
2011-06-14,60,63.0,,0.63,37.8
2011-06-15,20,63.0,,0.63,12.6
2011-06-16,27,63.0,,0.63,17.01
2011-06-17,21,63.0,,0.63,13.23
2011-06-18,18,63.0,,0.63,11.34
2011-06-19,37,63.0,,0.63,23.31
2011-06-20,53,63.0,,0.63,33.39
2011-06-21,13,63.0,,0.63,8.19
2011-06-22,27,63.0,,0.63,17.01
2011-06-23,27,63.0,,0.63,17.01
2011-06-24,56,63.0,,0.63,35.28
2011-06-25,18,63.0,,0.63,11.34
2011-06-26,37,63.0,,0.63,23.31
2011-06-27,53,63.0,,0.63,33.39
2011-06-28,13,63.0,,0.63,8.19
2011-06-29,40,63.0,,0.63,25.2
2011-06-30,28,63.0,,0.63,17.64
2011-07-01,41,58.0,False,0.58,23.779999999999998
2011-07-02,0,58.0,,0.58,0.0
2011-07-03,72,58.0,,0.58,41.76
2011-07-04,85,58.0,,0.58,49.3
2011-07-05,27,58.0,,0.58,15.659999999999998
2011-07-06,25,58.0,,0.58,14.499999999999998
2011-07-07,75,58.0,,0.58,43.5
2011-07-08,51,58.0,,0.58,29.58
2011-07-09,49,58.0,,0.58,28.419999999999998
2011-07-10,33,58.0,,0.58,19.139999999999997
2011-07-11,50,58.0,,0.58,28.999999999999996
2011-07-12,73,58.0,,0.58,42.339999999999996
2011-07-13,73,58.0,,0.58,42.339999999999996
2011-07-14,100,58.0,,0.58,57.99999999999999
2011-07-15,39,58.0,,0.58,22.619999999999997
2011-07-16,65,58.0,,0.58,37.699999999999996
2011-07-17,50,58.0,,0.58,28.999999999999996
2011-07-18,24,58.0,,0.58,13.919999999999998
2011-07-19,73,58.0,,0.58,42.339999999999996
2011-07-20,49,58.0,,0.58,28.419999999999998
2011-07-21,63,58.0,,0.58,36.54
2011-07-22,51,58.0,,0.58,29.58
2011-07-23,47,58.0,,0.58,27.259999999999998
2011-07-24,64,58.0,,0.58,37.12
2011-07-25,97,58.0,,0.58,56.26
2011-07-26,60,58.0,,0.58,34.8
2011-07-27,61,58.0,,0.58,35.379999999999995
2011-07-28,62,58.0,,0.58,35.96
2011-07-29,90,58.0,,0.58,52.199999999999996
2011-07-30,32,58.0,,0.58,18.56
2011-07-31,33,58.0,,0.58,19.139999999999997
2011-08-01,19,80.0,False,0.8,15.200000000000001
2011-08-02,28,80.0,,0.8,22.400000000000002
2011-08-03,38,80.0,,0.8,30.400000000000002
2011-08-04,9,80.0,,0.8,7.2
2011-08-05,69,80.0,,0.8,55.2
2011-08-06,24,80.0,,0.8,19.200000000000003
2011-08-07,12,80.0,,0.8,9.600000000000001
2011-08-08,74,80.0,,0.8,59.2
2011-08-09,55,80.0,,0.8,44.0
2011-08-10,28,80.0,,0.8,22.400000000000002
2011-08-11,57,80.0,,0.8,45.6
2011-08-12,100,80.0,,0.8,80.0
2011-08-13,24,80.0,,0.8,19.200000000000003
2011-08-14,36,80.0,,0.8,28.8
2011-08-15,19,80.0,,0.8,15.200000000000001
2011-08-16,19,80.0,,0.8,15.200000000000001
