date,vaccine_unscaled,vaccine_monthly,isPartial,scale,vaccine
2011-07-15,65,12.0,,0.12,7.8
2011-07-16,48,12.0,,0.12,5.76
2011-07-17,37,12.0,,0.12,4.4399999999999995
2011-07-18,82,12.0,,0.12,9.84
2011-07-19,80,12.0,,0.12,9.6
2011-07-20,84,12.0,,0.12,10.08
2011-07-21,100,12.0,,0.12,12.0
2011-07-22,63,12.0,,0.12,7.56
2011-07-23,58,12.0,,0.12,6.96
2011-07-24,53,12.0,,0.12,6.359999999999999
2011-07-25,75,12.0,,0.12,9.0
2011-07-26,88,12.0,,0.12,10.559999999999999
2011-07-27,78,12.0,,0.12,9.36
2011-07-28,71,12.0,,0.12,8.52
2011-07-29,74,12.0,,0.12,8.879999999999999
2011-07-30,57,12.0,,0.12,6.84
2011-07-31,59,12.0,,0.12,7.08
2011-08-01,80,13.0,False,0.13,10.4
2011-08-02,68,13.0,,0.13,8.84
2011-08-03,83,13.0,,0.13,10.790000000000001
2011-08-04,87,13.0,,0.13,11.31
2011-08-05,63,13.0,,0.13,8.19
2011-08-06,50,13.0,,0.13,6.5
2011-08-07,63,13.0,,0.13,8.19
2011-08-08,77,13.0,,0.13,10.01
2011-08-09,89,13.0,,0.13,11.57
2011-08-10,83,13.0,,0.13,10.790000000000001
2011-08-11,65,13.0,,0.13,8.450000000000001
2011-08-12,59,13.0,,0.13,7.67
2011-08-13,57,13.0,,0.13,7.41
2011-08-14,44,13.0,,0.13,5.720000000000001
2011-08-15,96,13.0,,0.13,12.48
2011-08-16,89,13.0,,0.13,11.57
