date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2011-03-18,96,46.0,,0.46,44.160000000000004
2011-03-19,53,46.0,,0.46,24.380000000000003
2011-03-20,52,46.0,,0.46,23.92
2011-03-21,100,46.0,,0.46,46.0
2011-03-22,48,46.0,,0.46,22.080000000000002
2011-03-23,75,46.0,,0.46,34.5
2011-03-24,47,46.0,,0.46,21.62
2011-03-25,50,46.0,,0.46,23.0
2011-03-26,41,46.0,,0.46,18.86
2011-03-27,51,46.0,,0.46,23.46
2011-03-28,98,46.0,,0.46,45.080000000000005
2011-03-29,59,46.0,,0.46,27.14
2011-03-30,67,46.0,,0.46,30.82
2011-03-31,40,46.0,,0.46,18.400000000000002
2011-04-01,58,44.0,False,0.44,25.52
2011-04-02,39,44.0,,0.44,17.16
2011-04-03,29,44.0,,0.44,12.76
2011-04-04,98,44.0,,0.44,43.12
2011-04-05,76,44.0,,0.44,33.44
2011-04-06,48,44.0,,0.44,21.12
2011-04-07,71,44.0,,0.44,31.24
2011-04-08,76,44.0,,0.44,33.44
2011-04-09,29,44.0,,0.44,12.76
2011-04-10,64,44.0,,0.44,28.16
2011-04-11,81,44.0,,0.44,35.64
2011-04-12,43,44.0,,0.44,18.92
2011-04-13,59,44.0,,0.44,25.96
2011-04-14,75,44.0,,0.44,33.0
2011-04-15,54,44.0,,0.44,23.76
2011-04-16,58,44.0,,0.44,25.52
2011-04-17,69,44.0,,0.44,30.36
2011-04-18,41,44.0,,0.44,18.04
2011-04-19,100,44.0,,0.44,44.0
2011-04-20,70,44.0,,0.44,30.8
2011-04-21,53,44.0,,0.44,23.32
2011-04-22,53,44.0,,0.44,23.32
2011-04-23,43,44.0,,0.44,18.92
2011-04-24,31,44.0,,0.44,13.64
2011-04-25,56,44.0,,0.44,24.64
2011-04-26,39,44.0,,0.44,17.16
2011-04-27,36,44.0,,0.44,15.84
2011-04-28,44,44.0,,0.44,19.36
2011-04-29,46,44.0,,0.44,20.24
2011-04-30,59,44.0,,0.44,25.96
2011-05-01,54,41.0,False,0.41,22.139999999999997
2011-05-02,74,41.0,,0.41,30.34
2011-05-03,92,41.0,,0.41,37.72
2011-05-04,73,41.0,,0.41,29.93
2011-05-05,90,41.0,,0.41,36.9
2011-05-06,57,41.0,,0.41,23.369999999999997
2011-05-07,42,41.0,,0.41,17.22
2011-05-08,70,41.0,,0.41,28.7
2011-05-09,60,41.0,,0.41,24.599999999999998
2011-05-10,72,41.0,,0.41,29.52
2011-05-11,36,41.0,,0.41,14.76
2011-05-12,68,41.0,,0.41,27.88
2011-05-13,56,41.0,,0.41,22.959999999999997
