date,portfolio_unscaled,portfolio_monthly,isPartial,scale,portfolio
2015-10-09,69,76.0,,0.76,52.44
2015-10-10,40,76.0,,0.76,30.4
2015-10-11,52,76.0,,0.76,39.52
2015-10-12,69,76.0,,0.76,52.44
2015-10-13,69,76.0,,0.76,52.44
2015-10-14,84,76.0,,0.76,63.84
2015-10-15,100,76.0,,0.76,76.0
2015-10-16,67,76.0,,0.76,50.92
2015-10-17,50,76.0,,0.76,38.0
2015-10-18,60,76.0,,0.76,45.6
2015-10-19,80,76.0,,0.76,60.8
2015-10-20,90,76.0,,0.76,68.4
2015-10-21,75,76.0,,0.76,57.0
2015-10-22,81,76.0,,0.76,61.56
2015-10-23,73,76.0,,0.76,55.480000000000004
2015-10-24,48,76.0,,0.76,36.480000000000004
2015-10-25,48,76.0,,0.76,36.480000000000004
2015-10-26,98,76.0,,0.76,74.48
2015-10-27,85,76.0,,0.76,64.6
2015-10-28,94,76.0,,0.76,71.44
2015-10-29,88,76.0,,0.76,66.88
2015-10-30,85,76.0,,0.76,64.6
2015-10-31,42,76.0,,0.76,31.92
2015-11-01,57,74.0,False,0.74,42.18
2015-11-02,89,74.0,,0.74,65.86
2015-11-03,92,74.0,,0.74,68.08
2015-11-04,81,74.0,,0.74,59.94
2015-11-05,85,74.0,,0.74,62.9
2015-11-06,77,74.0,,0.74,56.98
2015-11-07,57,74.0,,0.74,42.18
2015-11-08,54,74.0,,0.74,39.96
2015-11-09,97,74.0,,0.74,71.78
2015-11-10,90,74.0,,0.74,66.6
2015-11-11,85,74.0,,0.74,62.9
2015-11-12,99,74.0,,0.74,73.26
2015-11-13,67,74.0,,0.74,49.58
2015-11-14,54,74.0,,0.74,39.96
2015-11-15,53,74.0,,0.74,39.22
2015-11-16,97,74.0,,0.74,71.78
2015-11-17,100,74.0,,0.74,74.0
2015-11-18,88,74.0,,0.74,65.12
2015-11-19,88,74.0,,0.74,65.12
2015-11-20,86,74.0,,0.74,63.64
2015-11-21,47,74.0,,0.74,34.78
2015-11-22,62,74.0,,0.74,45.88
2015-11-23,74,74.0,,0.74,54.76
2015-11-24,78,74.0,,0.74,57.72
2015-11-25,79,74.0,,0.74,58.46
2015-11-26,41,74.0,,0.74,30.34
2015-11-27,42,74.0,,0.74,31.08
2015-11-28,46,74.0,,0.74,34.04
2015-11-29,54,74.0,,0.74,39.96
2015-11-30,78,74.0,,0.74,57.72
2015-12-01,93,75.0,False,0.75,69.75
2015-12-02,83,75.0,,0.75,62.25
2015-12-03,100,75.0,,0.75,75.0
2015-12-04,86,75.0,,0.75,64.5
2015-12-05,68,75.0,,0.75,51.0
2015-12-06,51,75.0,,0.75,38.25
2015-12-07,94,75.0,,0.75,70.5
2015-12-08,89,75.0,,0.75,66.75
2015-12-09,83,75.0,,0.75,62.25
2015-12-10,76,75.0,,0.75,57.0
2015-12-11,75,75.0,,0.75,56.25
2015-12-12,59,75.0,,0.75,44.25
2015-12-13,38,75.0,,0.75,28.5
2015-12-14,89,75.0,,0.75,66.75
2015-12-15,67,75.0,,0.75,50.25
2015-12-16,77,75.0,,0.75,57.75
2015-12-17,74,75.0,,0.75,55.5
2015-12-18,72,75.0,,0.75,54.0
2015-12-19,32,75.0,,0.75,24.0
2015-12-20,51,75.0,,0.75,38.25
2015-12-21,70,75.0,,0.75,52.5
2015-12-22,57,75.0,,0.75,42.75
2015-12-23,56,75.0,,0.75,42.0
2015-12-24,47,75.0,,0.75,35.25
2015-12-25,21,75.0,,0.75,15.75
2015-12-26,26,75.0,,0.75,19.5
2015-12-27,31,75.0,,0.75,23.25
2015-12-28,67,75.0,,0.75,50.25
2015-12-29,81,75.0,,0.75,60.75
2015-12-30,64,75.0,,0.75,48.0
2015-12-31,54,75.0,,0.75,40.5
2016-01-01,30,74.0,False,0.74,22.2
2016-01-02,42,74.0,,0.74,31.08
2016-01-03,45,74.0,,0.74,33.3
2016-01-04,76,74.0,,0.74,56.24
2016-01-05,74,74.0,,0.74,54.76
2016-01-06,82,74.0,,0.74,60.68
2016-01-07,78,74.0,,0.74,57.72
2016-01-08,67,74.0,,0.74,49.58
2016-01-09,51,74.0,,0.74,37.74
2016-01-10,51,74.0,,0.74,37.74
2016-01-11,73,74.0,,0.74,54.019999999999996
2016-01-12,88,74.0,,0.74,65.12
2016-01-13,78,74.0,,0.74,57.72
2016-01-14,74,74.0,,0.74,54.76
2016-01-15,70,74.0,,0.74,51.8
2016-01-16,51,74.0,,0.74,37.74
2016-01-17,42,74.0,,0.74,31.08
2016-01-18,57,74.0,,0.74,42.18
2016-01-19,78,74.0,,0.74,57.72
2016-01-20,88,74.0,,0.74,65.12
2016-01-21,86,74.0,,0.74,63.64
2016-01-22,63,74.0,,0.74,46.62
2016-01-23,48,74.0,,0.74,35.519999999999996
2016-01-24,44,74.0,,0.74,32.56
2016-01-25,85,74.0,,0.74,62.9
2016-01-26,82,74.0,,0.74,60.68
2016-01-27,100,74.0,,0.74,74.0
2016-01-28,96,74.0,,0.74,71.03999999999999
2016-01-29,72,74.0,,0.74,53.28
2016-01-30,60,74.0,,0.74,44.4
2016-01-31,56,74.0,,0.74,41.44
2016-02-01,88,79.0,False,0.79,69.52000000000001
2016-02-02,70,79.0,,0.79,55.300000000000004
2016-02-03,85,79.0,,0.79,67.15
2016-02-04,82,79.0,,0.79,64.78
2016-02-05,88,79.0,,0.79,69.52000000000001
2016-02-06,57,79.0,,0.79,45.03
2016-02-07,42,79.0,,0.79,33.18
2016-02-08,82,79.0,,0.79,64.78
2016-02-09,100,79.0,,0.79,79.0
2016-02-10,87,79.0,,0.79,68.73
2016-02-11,85,79.0,,0.79,67.15
2016-02-12,82,79.0,,0.79,64.78
2016-02-13,54,79.0,,0.79,42.660000000000004
2016-02-14,30,79.0,,0.79,23.700000000000003
2016-02-15,56,79.0,,0.79,44.24
2016-02-16,77,79.0,,0.79,60.830000000000005
2016-02-17,97,79.0,,0.79,76.63000000000001
2016-02-18,81,79.0,,0.79,63.99
2016-02-19,79,79.0,,0.79,62.410000000000004
2016-02-20,43,79.0,,0.79,33.97
2016-02-21,59,79.0,,0.79,46.61
2016-02-22,75,79.0,,0.79,59.25
2016-02-23,88,79.0,,0.79,69.52000000000001
2016-02-24,97,79.0,,0.79,76.63000000000001
2016-02-25,87,79.0,,0.79,68.73
2016-02-26,75,79.0,,0.79,59.25
2016-02-27,45,79.0,,0.79,35.550000000000004
